ID,COUNTRY,DIRECTION,COUNTY,LAT,LON,YEAR,YRGROUP,HOST,HOSTTYPE,LINEAGE,SOURCE,ID,MLG,MANMLG
IRE_58,ie,w,limerick,52.668,-8.6305,2015,late,rhod,shrub,eu1,nursery,IRE_58,eu1mg5,15
IRE_59,ie,w,cork,51.9036,-8.4684,2015,late,rhod,shrub,eu1,nursery,IRE_59,eu1mg1,11
IRE_6,ie,w,kerry,52.0599,-9.5044,2013,late,larix,contree,eu1,forest,IRE_6,eu1mg1,11
IRE_60,ie,w,cork,51.9036,-8.4684,2015,late,viburnum,shrub,eu1,nursery,IRE_60,eu1mg32,132
IRE_61,ie,w,kerry,52.0599,-9.5044,2015,late,camellia,shrub,eu1,nursery,IRE_61,eu1mg1,11
IRE_62,ie,se,waterford,52.2583,-7.1119,2017,late,rhod,shrub,eu1,nursery,IRE_62,eu1mg32,132
IRE_63,ie,w,waterford,52.2583,-7.1119,2005,early,rhod,shrub,eu1,nursery,IRE_63,eu1mg32,132
IRE_64,ie,w,kerry,52.0599,-9.5044,2005,early,rhod,shrub,eu1,forest,IRE_64,eu1mg1,11
IRE_65,ie,w,galway,53.271,-9.0627,2006,early,rhod,shrub,eu1,nursery,IRE_65,eu1mg1,11
IRE_66,ie,w,galway,53.271,-9.0627,2006,early,viburnum,shrub,eu1,nursery,IRE_66,eu1mg1,11
IRE_67,ie,w,tipperary,52.3543,-7.695,2006,early,rhod,shrub,eu1,forest,IRE_67,EU1MG130,1130
IRE_68,ie,w,kerry,52.0599,-9.5044,2009,early,rhod,shrub,eu1,forest,IRE_68,eu1mg26,126
IRE_7,ie,w,cork,51.9036,-8.4684,2013,late,larix,contree,eu1,forest,IRE_7,eu1mg1,11
IRE_70,ie,w,kerry,52.0599,-9.5044,2006,early,rhod,shrub,eu1,forest,IRE_70,eu1mg26,126
IRE_71,ie,w,clare,52.8562,-9.4008,2006,early,rhod,shrub,eu1,nursery,IRE_71,eu1mg1,11
IRE_72,ie,w,galway,53.271,-9.0627,2006,early,rhod,shrub,eu1,forest,IRE_72,eu1mg1,11
IRE_73,ie,w,kerry,52.0599,-9.5044,2007,early,rhod,shrub,eu1,forest,IRE_73,eu1mg13,113
IRE_74,ie,w,clare,52.8562,-9.4008,2007,early,viburnum,shrub,eu1,nursery,IRE_74,EU1MG131,1131
IRE_75,ie,se,laois,52.9837,-7.3561,2007,early,viburnum,shrub,eu1,nursery,IRE_75,eu1mg1,11
IRE_76,ie,ne,westmeath,53.5259,-7.3381,2007,early,rhod,shrub,eu1,nursery,IRE_76,eu1mg1,11
IRE_77,ie,ne,louth,53.9524,-6.539,2007,early,viburnum,shrub,eu1,nursery,IRE_77,eu1mg1,11
IRE_78,ie,ne,kildare,53.1561,-6.9144,2008,early,rhod,shrub,eu1,nursery,IRE_78,eu1mg1,11
IRE_79,ie,w,cork,51.9036,-8.4684,2008,early,rhod,shrub,eu1,forest,IRE_79,eu1mg1,11
IRE_80,ie,ne,kildare,53.1561,-6.9144,2009,early,rhod,shrub,eu1,nursery,IRE_80,eu1mg1,11
IRE_81,ie,ne,kildare,53.1561,-6.9144,2009,early,rhod,shrub,eu1,nursery,IRE_81,eu1mg1,11
IRE_82,ie,w,tipperary,52.3543,-7.695,2009,early,rhod,shrub,eu1,forest,IRE_82,eu1mg1,11
IRE_83,ie,se,kilkenny,52.6542,-7.2522,2010,late,camellia,shrub,eu1,nursery,IRE_83,eu1mg19,119
IRE_84,ie,se,kilkenny,52.6542,-7.2522,2010,late,viburnum,shrub,eu1,nursery,IRE_84,eu1mg19,119
